Time,Amplitude,HeartBeats,HeartRate
0.377,1.5355291,0.0,82.41940949819461
0.378,1.929818,0.0,82.46497082064812
0.379,1.2776628,0.0,82.51051255449012
0.38,1.579409,0.0,82.55603466183473
0.381,1.8356451,0.0,82.60153710485254
0.382,1.0472884,0.0,82.6470198457706
0.383,1.2154378,0.0,82.69248284687261
0.384,1.3415427,0.0,82.737926070499
0.385,1.4272097,0.0,82.78334947904696
0.386,1.4742434,0.0,82.82875303497056
0.387,1.4846507,0.0,82.8741367007809
0.388,0.4606685,0.0,82.91950043904609
0.389,0.40455732,0.0,82.9648442123914
0.39,-0.68118876,0.0,83.01016798349941
0.391,0.2059293,0.0,83.05547171510997
0.392,0.06856079,0.0,83.10075537002042
0.393,-0.09058632,0.0,83.14601891108558
0.394,-0.26882535,0.0,83.19126230121783
0.395,-0.463391,0.0,83.23648550338734
0.396,0.32844752,0.0,83.28168848062201
0.397,0.10943656,0.0,83.32687119600763
0.398,0.8822718,0.0,83.37203361268794
0.399,-0.35046175,0.0,83.41717569386472
0.4,-0.5861416,0.0,83.46229740279787
0.401,-1.8223263,0.0,83.50739870280556
0.402,-2.0566032,0.0,83.55247955726425
0.403,-3.2867134,0.0,83.59753992960877
0.404,-3.5104709,0.0,83.64257978333245
0.405,-2.7258632,0.0,83.68759908198719
0.406,-1.9309791,0.0,83.73259778918352
0.407,-1.1240709,0.0,83.77757586859072
0.408,-0.30352566,0.0,83.8225332839369
0.409,-0.4678873,0.0,83.86746999900912
0.41,-1.6158199,0.0,83.91238597765333
0.411,-1.7461998,0.0,83.95728118377463
0.412,-1.857996,0.0,84.00215558133728
0.413,-0.9503627,0.0,84.04700913436474
0.414,0.97736394,0.0,84.09184180693988
0.415,1.9257562,0.0,84.13665356320487
0.416,1.8952507,0.0,84.18144436736144
0.417,1.8861272,0.0,84.22621418367095
0.418,1.8984938,0.0,84.27096297645427
0.419,1.9323806,0.0,84.31569071009218
0.42,0.9877195,0.0,84.36039734902515
0.421,0.06427771,0.0,84.40508285775363
0.422,0.16175352,0.0,84.44974720083799
0.423,0.27972287,0.0,84.49439034289878
0.424,0.4177019,0.0,84.53901224861659
0.425,-0.4248648,0.0,84.58361288273225
0.426,-1.2486306,0.0,84.62819221004695
0.427,-2.0543194,0.0,84.67275019542225
0.428,-3.842659,0.0,84.71728680378013
0.429,-3.6144726,0.0,84.76180200010316
0.43,-3.370601,0.0,84.80629574943457
0.431,-2.1119337,0.0,84.85076801687819
0.432,-1.8393453,0.0,84.89521876759875
0.433,-1.5538074,0.0,84.93964796682174
0.434,-1.2562201,0.0,84.98405557983368
0.435,-1.9475563,0.0,85.028441571982
0.436,-1.6287497,0.0,85.0728059086753
0.437,-1.3007822,0.0,85.11714855538338
0.438,-0.964589,0.0,85.1614694776372
0.439,-0.62113893,0.0,85.2057686410291
0.44,-0.27136236,0.0,85.25004601121276
0.441,0.08380186,0.0,85.29430155390342
0.442,1.4434283,0.0,85.3385352348778
0.443,0.80659604,0.0,85.38274701997432
0.444,1.1724445,0.0,85.426936875093
0.445,0.5400338,0.0,85.47110476619577
0.446,-0.09147527,0.0,85.51525065930625
0.447,0.27699813,0.0,85.55937452051008
0.448,-0.35533428,0.0,85.60347631595492
0.449,-0.98938143,0.0,85.64755601185044
0.45,-1.62593,0.0,85.69161357446852
0.451,-1.265883,0.0,85.73564897014316
0.452,0.090070285,0.0,85.77966216527076
0.453,0.44098654,0.0,85.82365312631
0.454,0.78614134,0.0,85.86762181978209
0.455,0.12467792,0.0,85.9115682122706
0.456,-0.54415727,0.0,85.95549227042184
0.457,-0.22117731,0.0,85.99939396094463
0.458,1.0928724,0.0,86.04327325061067
0.459,1.3972063,0.0,86.08713010625425
0.46,0.6910695,0.0,86.1309644947727
0.461,0.9736927,0.0,86.1747763831262
0.462,1.2444036,0.0,86.21856573833792
0.463,0.50243497,0.0,86.26233252749414
0.464,0.7471359,0.0,86.30607671774429
0.465,-0.022151394,0.0,86.34979827630094
0.466,0.19393216,0.0,86.39349717044003
0.467,0.3947804,0.0,86.43717336750076
0.468,0.57989585,0.0,86.48082683488583
0.469,0.7487099,0.0,86.52445754006133
0.47,0.9008129,0.0,86.56806545055699
0.471,1.0358065,0.0,86.61165053396608
0.472,0.15339535,0.0,86.6552127579456
0.473,0.25330052,0.0,86.69875209021632
0.474,0.33536863,0.0,86.74226849856275
0.475,0.39950532,0.0,86.78576195083333
0.476,0.445774,0.0,86.82923241494049
0.477,0.47427732,0.0,86.8726798588606
0.478,-0.5147915,0.0,86.91610425063416
0.479,0.47896066,0.0,86.95950555836578
